amfi_code,cagr_3yr_pct,sharpe_ratio,alpha,max_drawdown_pct,scheme_name,fund_house,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,composite_score,fund_rank
119552,16.26,0.9533,19.8293,-11.8,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.66,45.0,72.5,65.0,92.5,27.500000000000004,61.25,15
125497,18.43,0.7758,17.8913,-15.2,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.92,55.00000000000001,57.49999999999999,62.5,67.5,45.0,58.0,16
120506,18.42,0.6489,16.2837,-19.83,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,1.41,52.5,52.5,52.5,55.00000000000001,67.5,54.375,17
118635,20.0,0.6649,15.1606,-11.65,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.89,60.0,55.00000000000001,45.0,70.0,25.0,53.75,18
119093,20.81,0.1296,8.3299,-21.75,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.75,62.5,30.0,32.5,82.5,77.5,52.875,19
148568,14.74,0.9263,20.7917,-15.27,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,1.52,42.5,65.0,67.5,36.25,47.5,52.6875,20
102887,25.55,0.6195,16.1793,-21.54,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,1.64,70.0,47.5,50.0,3.75,75.0,50.9375,21
120503,13.97,0.798,17.5879,-13.9,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,1.42,40.0,60.0,57.49999999999999,52.5,35.0,49.875,22
102885,19.66,0.8171,16.9927,-10.86,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,1.57,57.49999999999999,62.5,55.00000000000001,17.5,17.5,48.25,23
125498,11.24,0.3006,12.0554,-21.12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.78,37.5,35.0,37.5,77.5,72.5,46.375,24
118634,8.01,0.4484,17.8002,-23.34,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,1.53,35.0,37.5,60.0,31.25,80.0,44.5625,25
149322,18.04,0.464,13.1299,-14.84,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,1.54,50.0,40.0,42.5,26.25,40.0,41.4375,26
120841,17.26,0.4943,13.0683,-17.57,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,1.59,47.5,42.5,40.0,15.0,60.0,41.125,27
120507,7.39,0.4957,6.7472,-0.1,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,0.74,30.0,45.0,25.0,85.0,2.5,38.25,28
120842,7.75,0.076,7.8587,-24.0,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,1.56,32.5,27.500000000000004,30.0,20.0,82.5,33.875,29
119599,-1.34,-0.0572,5.0572,-52.57,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,0.72,7.5,22.5,12.5,88.75,100.0,33.6875,30
120844,6.69,-0.0887,6.4546,-0.12,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,0.6,27.500000000000004,17.5,22.5,95.0,5.0,31.875,31
101207,-4.15,0.1627,10.8205,-35.45,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,1.53,5.0,32.5,35.0,31.25,95.0,30.8125,32
118636,4.06,-0.3566,5.0963,-8.32,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,0.55,20.0,7.5,15.0,100.0,15.0,27.375,33
119095,-11.7,-0.076,4.568,-51.68,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,1.38,2.5,20.0,10.0,60.0,97.5,26.5,34
119120,5.84,-0.2266,5.5763,-4.33,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,0.77,22.5,10.0,17.5,80.0,12.5,26.0,35
101208,6.31,-0.8156,6.0842,-0.16,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,0.79,25.0,2.5,20.0,75.0,7.5,24.125,36
100025,3.92,-0.5671,4.3189,-4.31,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,0.56,17.5,5.0,7.5,97.5,10.0,23.625,37
102886,-0.77,-0.2058,2.8949,-28.0,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,1.51,10.0,12.5,2.5,41.25,87.5,21.5625,38
100016,1.29,-0.2015,3.6221,-24.73,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.55,15.0,15.0,5.0,22.5,85.0,21.125,39
119092,0.53,0.0308,6.9702,-14.4,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,1.64,12.5,25.0,27.500000000000004,3.75,37.5,19.8125,40
